Month,Y2016,Y2017,Y2018,Y2019,TotalVisitors
February,778748,1886698,1365837,983147,5014430
March,1017794,1783903,1415938,1009991,5227626
September,832987,2011280,1508086,959930,5312283
July,1096754,1890870,1470042,1094861,5552527
